GHGRP FACILITY ID,FRS ID (FACILITY),REPORTING YEAR,FACILITY NAME,FACILITY ADDRESS,FACILITY CITY,FACILITY STATE,FACILITY ZIP,FACILITY COUNTY,PARENT COMPANY NAME,PARENT CO. STREET ADDRESS,PARENT CO. CITY,PARENT CO. STATE,PARENT CO. ZIP,PARENT CO. PERCENT OWNERSHIP,FACILITY NAICS CODE,Facility Id,Latitude,Longitude,_source_sheet,owner
1003589.0,110012509071.0,2023.0,VERTEX REFINING ALABAMA LLC,400 INDUSTRIAL PARKWAY,SARALAND,AL,36571,MOBILE COUNTY,VERTEX ENERGY,"1331 Gemini St., Suite 250",Houston,TX,77058,100.0,324110.0,1003589,30.787778,-88.058333,Direct Point Emitters,other
1003610.0,110020506460.0,2023.0,CHEVRON PRODS.CO. RICHMOND REFY,841 CHEVRON WAY,RICHMOND,CA,94801,CONTRA COSTA COUNTY,CHEVRON CORP,6001 Bollinger Canyon Road,San Ramon,CA,94583,100.0,324110.0,1003610,37.938779,-122.396453,Direct Point Emitters,CHEVRON CORP
1003670.0,110071162431.0,2023.0,PETRO STAR INC NORTH POLE REFINERY,1200 H AND H LANE,NORTH POLE,AK,99705,FAIRBANKS NORTH STAR BOROUGH,ARCTIC SLOPE REGIONAL CORP,3900 C Street Suite 801,Anchorage,AK,99503,100.0,324110.0,1003670,64.749575,-147.377411,Direct Point Emitters,other
1003904.0,110000537250.0,2023.0,TESORO CORPORATION-ANACORTES REFINERY,10200 WEST MARCH POINT ROAD,ANACORTES,WA,98221,SKAGIT COUNTY,MARATHON PETROLEUM CORP,539 South Main Street,Findlay,OH,45840,100.0,324110.0,1003904,48.489534,-122.564292,Direct Point Emitters,MARATHON PETROLEUM CORP
1004130.0,110070240998.0,2023.0,HOUSTON REFINING,12000 LAWNDALE AVENUE,HOUSTON,TX,77017,HARRIS COUNTY,LYONDELLBASELL INDUSTRIES INC,"1221 Mckinney Street, Suite 300",Houston,TX,77010,100.0,324110.0,1004130,29.708566,-95.24124,Direct Point Emitters,other
1004211.0,110008214360.0,2023.0,HF Sinclair Puget Sound Refining LLC,8505 SOUTH TEXAS ROAD,ANACORTES,WA,98221,SKAGIT COUNTY,HOLLYFRONTIER PUGET SOUND REFINING LLC,8505 SOUTH TEXAS ROAD ANACORTES WA 98221,ANACORTES,WA,98221,100.0,324110.0,1004211,48.472836,-122.560194,Direct Point Emitters,other
1004267.0,110000481611.0,2023.0,Kern Energy,7724 E PANAMA LN,BAKERSFIELD,CA,93307,KERN COUNTY,CASEY CO,7724 E Panama Lane,Bakersfield,CA,93307,100.0,324110.0,1004267,35.295278,-118.921111,Direct Point Emitters,other
1004291.0,110000446134.0,2023.0,HF SINCLAIR EL DORADO REFINING LLC,1401 SOUTH DOUGLAS ROAD,EL DORADO,KS,67042,BUTLER COUNTY,HF SINCLAIR CORP,"2828 N. Harwood, Suite 1300",Dallas,TX,75201,100.0,324110.0,1004291,37.794007,-96.87414,Direct Point Emitters,HF SINCLAIR CORP
1004305.0,110041133163.0,2023.0,Phillips 66 BAYWAY REFINERY,1400 PARK AVE,LINDEN,NJ,7036,UNION COUNTY,PHILLIPS 66,2331 Citywest Blvd,Houston,TX,77042,100.0,324110.0,1004305,40.640135,-74.21888,Direct Point Emitters,PHILLIPS 66
1004381.0,110013703206.0,2023.0,"Coffeyville Resources Refining & Marketing, LLC",400 North Linden Street,Coffeyville,KS,67337,MONTGOMERY COUNTY,CVR ENERGY INC,400 North Linden Street,Coffeyville,KS,67337,100.0,324110.0,1004381,37.047556,-95.606106,Direct Point Emitters,other
1004459.0,110000468226.0,2023.0,WYOMING REFINING COMPANY,740 W. MAIN ST.,NEWCASTLE,WY,82701,WESTON COUNTY,PAR PACIFIC HOLDINGS INC,"825 Town And County Lane, Suite 1500",Houston,TX,77024,100.0,324110.0,1004459,43.85126,-104.21486,Direct Point Emitters,PAR PACIFIC HOLDINGS INC
1004630.0,110000597337.0,2023.0,CONVENT REFINERY,10700 La. 44,CONVENT,LA,70723,ST. JAMES PARISH,SHELL PETROLEUM INC,"910 Louisiana Street, Suite 420",Houston,TX,77002,100.0,324110.0,1004630,30.10846,-90.89677,Direct Point Emitters,other
1005125.0,110000540317.0,2023.0,CALUMET SHREVPORT REFINING LLC,3333 MIDWAY STREET,SHREVEPORT,LA,71109,CADDO PARISH,CALUMET SPECIALTY PRODUCTS PARTNERS LP,"2780 Waterfront Parkway East Dr., Suite 200",Indianapolis,IN,46214,100.0,324110.0,1005125,32.470833,-93.790833,Direct Point Emitters,CALUMET SPECIALTY PRODUCTS PARTNERS LP
1005390.0,110000493555.0,2023.0,Canton Refinery,2408 GAMBRINUS RD. S.W.,CANTON,OH,44706,STARK COUNTY,MARATHON PETROLEUM CORP,539 South Main Street,Findlay,OH,45840,100.0,324110.0,1005390,40.7736,-81.4146,Direct Point Emitters,MARATHON PETROLEUM CORP
1005585.0,110059763536.0,2023.0,Galveston Bay Refinery,2401 5TH AVE S IN TEXAS CITY,TEXAS CITY,TX,77592,GALVESTON COUNTY,MARATHON PETROLEUM CORP,539 South Main Street,Findlay,OH,45840,100.0,324110.0,1005585,29.3775,-94.9328,Direct Point Emitters,MARATHON PETROLEUM CORP
1005590.0,110000332220.0,2023.0,AMERICAN REFINING GROUP INC,77 NORTH KENDALL AVENUE,BRADFORD,PA,16701,MCKEAN COUNTY,AMERICAN REFINING GROUP INC,"100 Four Falls Corporate Center, Suite 215",West Conshohocken,PA,19428-2960,100.0,324110.0,1005590,41.965472,-78.633108,Direct Point Emitters,other
