GHGRP FACILITY ID,FRS ID (FACILITY),REPORTING YEAR,FACILITY NAME,FACILITY ADDRESS,FACILITY CITY,FACILITY STATE,FACILITY ZIP,FACILITY COUNTY,PARENT COMPANY NAME,PARENT CO. STREET ADDRESS,PARENT CO. CITY,PARENT CO. STATE,PARENT CO. ZIP,PARENT CO. PERCENT OWNERSHIP,FACILITY NAICS CODE,Facility Id,Latitude,Longitude,_source_sheet,owner
1013697.0,110058239071.0,2023.0,KUDU Midstream-260 East Texas Basin,12377 Merit Dr. Suite 1200,Dallas,TX,75251,DALLAS COUNTY,KUDU MIDSTREAM LLC,12377 Merit Dr. Suite 1200,Dallas,TX,75251,100.0,211130.0,1013697,32.91593,-96.77249,Gathering & Boosting,other
1013699.0,110070716032.0,2023.0,"Sabinal Energy Operating, LLC - Permian Basin","1780 HUGHES LANDING BLVD, SUITE 1200",The Woodlands,TX,77380,MONTGOMERY COUNTY,SABINAL ENERGY LLC,1780 Hughes Landing 1200,Woodlands,TX,77380,100.0,211120.0,1013699,30.173616,-95.469459,Onshore Oil & Gas Prod.,other
1013701.0,110070931003.0,2023.0,30-30 Gas Plant,2300 FM 1622,Plains,TX,79355,YOAKUM COUNTY,STAKEHOLDER GAS SERVICES LLC,19122 US HWY 281 N Suite 113,San Antonio,TX,78258,100.0,211130.0,1013701,33.05188,-102.88792,Direct Point Emitters,other
1013709.0,110070209439.0,2023.0,EOG Resources Inc. 515 Powder River Basin Gathering and Boosting,1111 Bagby Street,Houston,TX,77002,HARRIS COUNTY,EOG RESOURCES INC,1111 Bagby Street - Sky Lobby 2,Houston,TX,77002,100.0,211120.0,1013709,29.75894,-95.37096,Gathering & Boosting,EOG RESOURCES INC
1013710.0,110070209439.0,2023.0,"EOG Resources, Inc. 540 Denver Basin Gathering and Boosting",1111 Bagby Street,Houston,TX,77002,HARRIS COUNTY,EOG RESOURCES INC,1111 Bagby Street - Sky Lobby 2,Houston,TX,77002,100.0,211120.0,1013710,29.75894,-95.37096,Gathering & Boosting,EOG RESOURCES INC
1013714.0,110070716034.0,2023.0,Bear Den Gas Plant,,Watford City,ND,58572,MCKENZIE COUNTY,ENERGY TRANSFER LP,"8111 Westchester Drive, Suite 600",Dallas,TX,75225,100.0,211130.0,1013714,47.714847,-103.226817,Direct Point Emitters,ENERGY TRANSFER LP
1013717.0,110070716084.0,2023.0,Rock Creek Pipeline System,9101 Hwy 136,Borger,TX,79007,HUTCHINSON COUNTY,IACX ENERGY LLC,"5001 Lbj Freeway, Suite 300",Dallas,TX,75244,100.0,486210.0,1013717,35.652379,-101.452082,Gathering & Boosting,other
1013722.0,110070716042.0,2023.0,Ponderosa Gathering LLC,"601 Travis Street, Suite 1900",Houston,TX,77002,HARRIS COUNTY,NEXTERA ENERGY INC,700 Universe Blvd,Juno Beach,FL,33408,100.0,486210.0,1013722,29.76003,-95.36387,Gathering & Boosting,other
1013724.0,,2023.0,SCM Pecos Gas Processing Plant,1369 I-20,Pecos,TX,79772,,SALT CREEK MIDSTREAM LLC,"5775 N. Sam Houston Pkwy W., Suite 600",Houston,TX,77086,100.0,211130.0,1013724,31.361829,-103.682383,Direct Point Emitters,other
1013727.0,110070716021.0,2023.0,Lone Star Frac 6 & 8,,Mont Belvieu,TX,77580,CHAMBERS COUNTY,ENERGY TRANSFER LP,"8111 Westchester Dr, Suite 600",Dallas,TX,75225,100.0,486210.0,1013727,29.847742,-94.9243,Direct Point Emitters,ENERGY TRANSFER LP
1013728.0,,2023.0,"PetroShale (US), Inc.",303 E 17th Ave Ste 940,Denver,CO,80203,,PETROSHALE (US) INC,"303 E 17Th Ave, Suite 940",Denver,CO,80203,100.0,211120.0,1013728,39.743762,-104.983013,Onshore Oil & Gas Prod.,other
1013732.0,,2023.0,Basin 360 - Mach II,14201 Wireless Way,Oklahoma City,OK,73134,,BCE-MACH II LLC,14201 Wireless Way,Oklahoma City,OK,73134,100.0,211130.0,1013732,35.614157,-97.580313,Onshore Oil & Gas Prod.,other
1013734.0,110070716065.0,2023.0,Tap Rock Operating,"523 Park Point Dr., Suite 200",Golden,CO,80401,JEFFERSON COUNTY,TAP ROCK OPERATING LLC,"523 Park Point Drive, Suite 200",Golden,CO,80401,100.0,211120.0,1013734,39.70684,-105.2904,Onshore Oil & Gas Prod.,other
1013735.0,,2023.0,Steward Energy II 430 Permian Basin,2600 Dallas Parkway ste 400,Frisco,TX,75034,,STEWARD ENERGY II LLC,2600 North Dallas Parkway Suite 400,Frisco,TX,75034,100.0,211120.0,1013735,33.1002,-96.821564,Onshore Oil & Gas Prod.,other
1013736.0,,2023.0,APR - Basin 430 - Production,"400 W. Illinois, Suite 970",Midland,TX,79701,,APR OPERATING LLC,"400 W. Illinois, Suite 970",Midland,TX,79701,100.0,211130.0,1013736,32.000017,-102.078534,Onshore Oil & Gas Prod.,other
1013737.0,110070789270.0,2023.0,APR - Basin 430 - Gathering & Boosting,"400 W. Illinois, Suite 970",Midland,TX,79701,MIDLAND COUNTY,APR OPERATING LLC,"400 W. Illinois, Suite 970",Midland,TX,79701,100.0,211130.0,1013737,31.99954,-102.07847,Gathering & Boosting,other
1013738.0,110070789266.0,2023.0,Great Salt Plains MIdstream,"14000 Quail Springs Parkway, Suite 5500",Oklahoma CIty,OK,73134,OKLAHOMA COUNTY,GREAT SALT PLAINS MIDSTREAM HOLDINGS LLC,"14000 Quail Springs Parkway, Ste 5500",Oklahoma City,OK,74134,100.0,211130.0,1013738,35.61246,-97.57577,Gathering & Boosting,other
1013739.0,,2023.0,Marlan Gas Plant,55 Buffalo Grass Rd.,Carlsbad,NM,88220,,SUMMIT MIDSTREAM PARTNERS LP,"910 Louisiana St, Suite 4200",Houston,TX,77002,100.0,211130.0,1013739,32.535209,-103.825291,Direct Point Emitters,other
1013743.0,,2023.0,Pronto Midstream GB - Permian,"5400 LBJ Freeway, Suite 1500",Dallas,TX,75240,,SUMMIT MIDSTREAM PARTNERS LP,"910 Louisiana St, Suite 4200",Houston,TX,77002,100.0,211130.0,1013743,39.74874,-104.99196,Gathering & Boosting,other
1013748.0,,2023.0,Denbury Onshore LLC 530 Wind River GB,"5851 Legacy Circle, Suite 1200",Plano,TX,75024,,DENBURY INC,"5851 Legacy Circle, Suite 1200",Plano,TX,75024,100.0,211120.0,1013748,35.46716,-97.517745,Gathering & Boosting,other
1013751.0,,2023.0,Basin 375 - BCE-Mach LLC,"14201 Wireless Way, Suite 300",Oklahoma City,OK,73134,,BCE-MACH LLC,14201 Wireless Way,Oklahoma City,OK,73134,100.0,211120.0,1013751,35.614157,-97.580313,Onshore Oil & Gas Prod.,other
1013753.0,110070111620.0,2023.0,Freeport LNG Pretreatment Facility,2363 CR 690,Freeport,TX,77541,BRAZORIA COUNTY,FLIQ COMMON FACILITIES LLC,333 Clay Street Ste 5050,Houston,TX,77002,100.0,211130.0,1013753,28.984942,-95.308669,Direct Point Emitters,other
1013771.0,,2023.0,"Zavanna, LLC Williston Basin (395) Operations","1200 17th Street, Suite 1100",Denver,CO,80202,,ZAVANNA LLC,"1200 17Th Street, Suite 1100",Denver,CO,80202,100.0,211120.0,1013771,39.749412,-104.996212,Onshore Oil & Gas Prod.,other
1013774.0,110070028366.0,2023.0,Black River Gas Processing Plant,977 Bounds Rd,Loving,NM,88256,EDDY COUNTY,SAN MATEO MIDSTREAM LLC,"5400 Lbj Freeway, Suite 1500",Dallas,TX,75240,100.0,211130.0,1013774,32.265179,-104.126166,Direct Point Emitters,other
1013786.0,110070931020.0,2023.0,Peregrine Gas Plant,14912 FM 652,Orla,TX,79770,REEVES COUNTY,TARGA RESOURCES CORP,811 Louisiana Street,Houston,TX,77002,100.0,211130.0,1013786,31.82524,-103.90894,Direct Point Emitters,TARGA RESOURCES CORP
1013787.0,110070931049.0,2023.0,Gateway/Heim Gas Plant,20601 TX-137,Garden City,TX,79739,REAGAN COUNTY,TARGA RESOURCES CORP,"811 Louisiana Street, Suite 2100",Houston,TX,77002,100.0,211130.0,1013787,31.644859,-101.63231,Direct Point Emitters,TARGA RESOURCES CORP
1013788.0,,2023.0,Sale Ranch Gas Plant,2873 FM 829,Stanton,TX,79782,,WTG NORTH PERMIAN MIDSTREAM LLC,303 Veterans Air Park Ln.,MIDLAND,TX,79705,100.0,211130.0,1013788,32.2225894980154,-101.903378840676,Direct Point Emitters,other
1013789.0,110067553917.0,2023.0,Martin County Gas Plant,2718 CR 2500,Stanton,TX,79782,MARTIN COUNTY,WTG NORTH PERMIAN MIDSTREAM LLC,303 Veterans Dr.,MIDLAND,TX,79705,100.0,211130.0,1013789,32.15462,-101.931846,Direct Point Emitters,other
1013809.0,110070225655.0,2023.0,SEP Williston Basin 395 Gathering,"13800 Montfort Drive, Suite 100",Dallas,TX,75240,DALLAS COUNTY,SCOUT ENERGY MANAGEMENT LLC,"13800 Montfort Drive, Suite 100",Dallas,TX,75240,100.0,211130.0,1013809,32.93579,-96.8136,Gathering & Boosting,other
1013814.0,110070931058.0,2023.0,Tornado Gas Plant,,Mentone,TX,79754,LOVING COUNTY,MPLX LP,539 South Main Street,Findlay,OH,45840,100.0,211130.0,1013814,31.982053,-103.704396,Direct Point Emitters,MPLX LP
1013815.0,,2023.0,430 Cotton Draw Midstream,333 West Sheridan Avenue,Oklahoma City,OK,73102,,COTTON DRAW MIDSTREAM LLC,333 W Sheridan Ave,Oklahoma City,OK,73102,100.0,211120.0,1013815,35.4671340183253,-97.5177769043572,Gathering & Boosting,other
1013825.0,110070209522.0,2023.0,"Transmission Pipeline Facility, Permian Highway Pipeline, LLC","1001 Louisiana St, Suite 1000",Houston,TX,77002,HARRIS COUNTY,EXXON MOBIL CORP,5959 Las Colinas Blvd,Irving,TX,75039,20.0,486210.0,1013825,29.75816,-95.36782,Transmission Pipelines,KINDER MORGAN INC
1013833.0,,2023.0,Mewbourne Oil Company - Anadarko Basin 360,1101 NE 6th Ave,Perryton,TX,79070,,MEWBOURNE HOLDINGS INC,3901 S Broadway Avenue,Tyler,TX,75701,100.0,211120.0,1013833,36.4068616888074,-100.784907669667,Onshore Oil & Gas Prod.,other
1013845.0,,2023.0,Mewbourne Oil Company - Permian Basin 430,4801 Business Park Blvd,Hobbs,NM,88240,,MEWBOURNE HOLDINGS INC,3901 S Broadway Avenue,Tyler,TX,75701,100.0,211120.0,1013845,32.7599498199006,-103.197900155813,Onshore Oil & Gas Prod.,other
1013849.0,110070930996.0,2023.0,Constellation Compressor Station,160 Whitmire Road,West Sunbury,PA,16061,BUTLER COUNTY,ONEIDA VALLEY MIDSTREAM LLC,"3935 Washington Road, Suite 1009",Canonsburg,PA,15317,100.0,211130.0,1013849,40.947064,-79.864826,Gathering & Boosting,other
1013851.0,,2023.0,U.S. Energy Development Corp.,1521 N. Cooper Street Suite 400,Arlington,TX,76011,,US ENERGY DEVELOPMENT CORP,1521 N. Cooper Street Suite 400,Arlington,TX,76011,100.0,211120.0,1013851,32.7595399822048,-97.1137723279056,Onshore Oil & Gas Prod.,other
