GHGRP FACILITY ID,year,category,lat,lon
1000995,2010,other,44.3026,-91.9126
1000996,2010,other,30.558,-98.3705
1000997,2010,other,27.6067,-97.3119
1000998,2010,other,35.9978,-95.9567
1001001,2010,other,39.3668,-81.2944
1001002,2010,other,34.4236,-92.1392
1001005,2010,other,38.9361,-88.2778
1001006,2010,other,38.9031,-84.8511
1001008,2010,other,40.4627,-107.5912
1001011,2010,other,42.7748,-82.4945
1001012,2010,other,43.1056,-82.6964
1001013,2010,other,27.0536,-80.5628
1001014,2010,other,28.9047,-81.3319
1001016,2010,other,30.7261,-91.3669
1001018,2010,other,39.4472,-94.98
1001020,2010,other,45.8831,-106.614
1001021,2010,other,42.1977,-72.5103
1001022,2010,other,43.3561,-78.6039
1001023,2010,other,41.2175,-87.0239
1001024,2010,top10_other,45.3792,-93.8958
1001025,2010,other,36.4537,-97.0527
1001026,2010,other,40.6215,-95.7765
1001027,2010,other,45.3047,-96.5103
1001028,2010,other,44.2886,-105.3847
1001029,2010,top10_other,40.2461,-104.8742
1001030,2010,other,38.3722,-87.7661
1001031,2010,other,32.3558,-81.1683
1001033,2010,other,37.9053,-87.715
1001035,2010,other,38.1306,-90.2625
1001036,2010,other,39.1747,-111.0289
1001037,2010,other,37.9256,-87.0372
1001038,2010,other,28.7128,-97.2142
1001040,2010,other,28.7044,-98.4781
1001041,2010,other,31.395,-92.7167
1001042,2010,top10_other,35.2972,-101.7475
1001043,2010,top10_other,34.1847,-102.5686
1001044,2010,other,37.1519,-93.3892
1001045,2010,other,42.1103,-104.8828
1001046,2010,other,37.1385,-94.1041
1001047,2010,other,30.7217,-96.4599
1001048,2010,top10_other,40.2217,-103.6803
1001049,2010,other,36.5278,-78.8917
1001050,2010,other,41.0961,-92.5556
1001051,2010,other,33.0583,-83.8072
1001052,2010,other,38.9794,-81.9344
1001054,2010,other,40.7316,-96.7364
1001055,2010,other,47.3714,-101.8344
1001056,2010,other,41.6295,-83.4965
1001057,2010,other,42.56519,-83.03771
1001059,2010,other,35.6733,-91.4083
1001060,2010,other,41.3153,-91.0936
1001062,2010,other,40.8611,-105.0206
1001063,2010,other,36.8791,-89.6209
1001064,2010,other,34.0158,-95.3206
1001066,2010,other,37.4497,-87.0803
1001068,2010,other,42.521667,-70.939444
1001069,2010,other,34.59459,-98.50129
1001070,2010,other,31.0932,-96.6965
1001071,2010,other,43.53731,-89.10315
1001073,2010,other,36.134274,-80.257781
1001074,2010,other,47.919441,-97.059904
1001078,2010,other,45.975179,-106.655241
1001079,2010,other,41.5572,-93.5242
1001080,2010,other,40.9569,-72.8774
1001082,2010,top10_other,39.7436,-75.5072
1001085,2010,other,39.4492,-84.4611
1001086,2010,other,43.1669,-88.69
1001088,2010,other,30.50515,-87.22575
1001090,2010,other,41.694444,-87.515833
1001091,2010,other,43.7353,-88.4968
1001092,2010,other,33.3642,-81.03
1001093,2010,other,36.8692,-78.7046
1001097,2010,top10_other,43.6033,-96.6369
1001098,2010,other,28.2764,-81.533
1001100,2010,other,27.7286,-81.9897
1001101,2010,other,41.251852,-84.41227
1001103,2010,other,34.242779,-84.797775
1001104,2010,other,29.2575,-98.3828
1001106,2010,other,42.7553,-86.0853
1001107,2010,other,37.6528,-121.0172
1001108,2010,other,42.6658,-88.0131
1001109,2010,other,35.4317,-81.0347
1001110,2010,top10_other,39.451,-75.0578
1001111,2010,other,37.0659,-94.614
1001112,2010,other,27.7886,-81.8694
1001113,2010,other,40.8153,-73.0644
1001117,2010,other,42.3022,-96.3622
1001119,2010,other,45.8486,-119.6744
1001120,2010,other,44.94302,-93.093857
